Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
F;53855.57;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Office Services Coordinator;2009
M;89620;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2005
F;93396;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2002
F;72603.3;Department of Recreation;Office of the Director;Fulltime-Regular;Senior Executive Administrative Aide;1988
M;89620;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2000
M;73801;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2001
M;100670.07;Fire and Rescue Services;Station 13;Fulltime-Regular;Master Firefighter/Rescuer;1990
M;48258.81;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2007
F;41954.12;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2006
F;73801;Community Use of Public Facilities;Scheduling Team;Fulltime-Regular;Program Specialist I;2001
M;65716;Fire and Rescue Services;Station 24;Fulltime-Regular;Firefighter/Rescuer III;2007
F;83033.72;Department of Health and Human Services;Senior Nutrition Program;Fulltime-Regular;Program Manager I;2013
M;50910;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2014
M;73801;Department of General Services;Facilities Maintenance;Fulltime-Regular;HVAC Mechanic I;2006
M;75453;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;2005
M;50910;Fire and Rescue Services;Station 33;Fulltime-Regular;Firefighter/Rescuer III;2014
M;80829;Department of Police;FSB Special Operations Division Tactical Operations Section;Fulltime-Regular;Police Officer III;2003
F;21030.74;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2004
F;104717.28;Department of General Services;Administration and Budget;Fulltime-Regular;Management and Budget Specialist III;1987
M;90038.06;Correction and Rehabilitation;PTS Supervision;Fulltime-Regular;Correctional Specialist III;2002
F;86673.48;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Administrative Specialist II;1989
M;70422;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Correctional Records Technician;1998
M;112266;Fire and Rescue Services;Station 29;Fulltime-Regular;Fire/Rescue Captain;1997
M;43525.72;Department of Liquor Control;Liquor and Wine Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2013
F;58448;Department of Health and Human Services;Jail Addiction Services;Fulltime-Regular;Principal Administrative Aide;2000
F;64367.46;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative II;2000
M;60468;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2008
F;57807.08;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1993
M;39351.09;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2014
F;60201.44;Department of Public Libraries;White Oak Library;Fulltime-Regular;Library Assistant I;1993
M;87523.22;Department of Permitting Services;Team 2 Residential Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;1987
F;30100.72;Department of Public Libraries;Twinbrook Library;Parttime-Regular;Library Assistant I;1993
M;113931.12;Office of Emergency Management and Homeland Security;Operations and Training;Fulltime-Regular;Manager III;2001
M;156525;Office of Agriculture;Administration;Fulltime-Regular;Manager II;1988
F;102664;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Supervisory Therapist;1998
M;114087.02;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Captain;1993
F;68862.58;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Program Specialist I;2005
M;68015;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2006
M;87523.22;Department of Transportation;Parking Management Engineering and Capital Project Management;Fulltime-Regular;Maintenance Renovation and Inspection Specialist;1987
F;63496.54;Department of Health and Human Services;Adult Protective Services - Nurse Assessment;Fulltime-Regular;Office Services Coordinator;2003
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
F;87841;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Master Police Officer;2002
M;42153.85;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
M;37934.39;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Public Service Worker II;2007
F;49618.44;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2010
M;76015.03;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;1989
M;142496.67;Department of Finance;Division of Fiscal Management;Fulltime-Regular;Manager II;2012
F;119796.3;Department of Health and Human Services;School Health Services;Fulltime-Regular;Manager III;1997
M;159266;Department of Health and Human Services;Chief, Behavioral Health and Crisis Services;Fulltime-Regular;Chief Behavioral Health and Crisis Services;2009
M;60501;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2012
M;55671;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2015
M;74898;Fire and Rescue Services;Station 28;Fulltime-Regular;Firefighter/Rescuer III;2004
F;93396;Fire and Rescue Services;Community Outreach Section;Fulltime-Regular;Program Manager I;2000
M;67424;Fire and Rescue Services;Station 17;Fulltime-Regular;Firefighter/Rescuer III;2009
M;70435;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2007
F;58360.18;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2015
F;58867.84;Department of Public Libraries;Silver Spring Library;Fulltime-Regular;Librarian I;2015
M;73801;Department of General Services;Facilities Maintenance;Fulltime-Regular;HVAC Mechanic I;2005
F;48616.35;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Public Safety Telephone Reporting Aide I;2008
M;87523.22;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Program Specialist II;1990
M;44475.41;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Warehouse Equipment Operator;2007
M;99792;Fire and Rescue Services;Second Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;1999
M;97560;Fire and Rescue Services;Station 6;Fulltime-Regular;Master Firefighter/Rescuer;1998
F;46469;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;2000
F;56180.52;Department of Police;HQ Office of the Chief Internal Affairs Division;Fulltime-Regular;Office Services Coordinator;2005
M;70249.5;Department of Environmental Protection;Construction;Fulltime-Regular;Construction Representative III;2016
M;47863.07;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;1993
F;29779.07;Department of Liquor Control;Hampden Lane;Parttime-Regular;Liquor Store Clerk I;2008
F;78391.99;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2012
F;55976.97;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2012
M;81066;Department of Environmental Protection;Solid Waste Services Operations;Fulltime-Regular;Code Enforcement Inspector III;2001
F;97671.34;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;1999
M;72185;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2003
M;60711.33;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2001
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1992
F;100849.36;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;1985
M;70435;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2007
M;73801;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2000
M;58674.17;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2012
F;100097.88;Department of Health and Human Services;School Health Services;Fulltime-Regular;Nurse Manager;2006
M;69475;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff III;2006
F;66033.42;Department of Health and Human Services;Access to Behavioral Health Services;Fulltime-Regular;Therapist II;2012
M;106501;Fire and Rescue Services;Station 14;Fulltime-Regular;Fire/Rescue Captain;2002
M;69316.94;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2007
M;92756.7;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;1987
F;69222.18;Department of Police;ISB Major Crimes Division Fugitive Section;Fulltime-Regular;Office Services Coordinator;1980
M;114087.02;Fire and Rescue Services;Fifth Battalion - Administration;Fulltime-Regular;Fire/Rescue Captain;1990
F;44945.53;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2004
M;58671.02;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2002
M;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
M;89620;Department of Police;PSB 4th District Traffic Squad;Fulltime-Regular;Police Officer III;1999
M;67126;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff III;2007
M;148931.2;Department of Transportation;Director Office;Fulltime-Regular;Manager II;2002
F;41220.18;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2016
M;60501;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2012
M;107128.71;Department of Police;PSB 1st District Traffic Squad;Fulltime-Regular;Police Sergeant;1996
M;41781.91;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
M;62294.4;Department of Transportation;Highway Services;Fulltime-Regular;Work Force Leader II;2003
F;65752;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2011
M;90896;Fire and Rescue Services;Station 10;Fulltime-Regular;Master Firefighter/Rescuer;2001
F;69222.18;Department of Health and Human Services;Fiscal Team;Fulltime-Regular;Fiscal Assistant;1990
M;92756.7;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;1996
M;44261.53;Department of Transportation;Highway Services;Fulltime-Regular;Public Service Craftsworker;2012
M;96197.88;Department of Permitting Services;Land Development Right-of-Way Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;1990
F;44945.53;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2003
M;107128.71;Department of Police;ISB Criminal Investigations Division Financial Crimes Section;Fulltime-Regular;Police Sergeant;1988
F;35630.4;Merit System Protection Board Department;Merit System Protection Board;Parttime-Regular;Office Services Coordinator;2016
M;60201.44;Department of Liquor Control;Beer Warehouse Operations;Fulltime-Regular;Warehouse Equipment Operator;1987
F;35552.39;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2014
M;103506;Department of Police;HQ Office of the Chief Internal Affairs Division;Fulltime-Regular;Police Sergeant;1997
M;53505.61;Department of Transportation;Highway Administration;Fulltime-Regular;Highway Inspector I;2007
F;76332.22;Department of Public Libraries;Detention Center Library;Fulltime-Regular;Senior Librarian;2013
F;91718.6;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2005
F;115156.98;Department of Health and Human Services;Compliance Team;Fulltime-Regular;Financial Programs Manager;1977
M;52734.33;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor II;2014
M;93396;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;1998
M;43525.72;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2013
M;102664;Office of Human Resources;Labor and Employee Relations Team;Fulltime-Regular;Human Resources Specialist III;2000
M;124825.02;Fire and Rescue Services;Station 30;Fulltime-Regular;Fire/Rescue Captain;1990
M;71927.98;Department of Permitting Services;Land Development Sediment and Stormwater Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2003
