id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
3113,F,56478,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014
3114,M,132160.95,Department of Housing and Community Affairs,Finance and Administration Division,Fulltime-Regular,Manager II,2006
3115,M,102664,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Program Manager II,2006
3116,M,118422.7,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Retirement Analyst,2000
3117,M,52097.35,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2001
3118,F,75737.1,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2010
3119,F,100849.36,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,1990
3120,M,52693,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2013
3121,M,70435,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2007
3122,M,40000,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,2016
3123,F,88136.06,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Program Manager II,2014
3124,M,67095.6,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist II,2002
3125,M,107028.37,Office of Emergency Management and Homeland Security,Director\'s Office,Fulltime-Regular,Manager III,2010
3126,F,83150.93,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Program Manager I,2007
3127,F,100849.36,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Community Health Nurse II,1978
3128,F,96486.29,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,2008
3129,M,50211,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016
3130,F,96197.88,Department of Health and Human Services,African American Health Program,Fulltime-Regular,Program Manager I,1976
3131,M,112899,Office of Management and Budget,Special Projects,Fulltime-Regular,Senior Management and Budget Specialist,2002
3132,M,208997.66,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Medical Doctor IV - Psychiatrist,1995
3133,M,206000,Fire and Rescue Services,Fire Chief,Fulltime-Regular,'Fire Chief,Fire/Rescue Service',1990
3134,M,144551.85,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,2010
3135,M,90000,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Program Manager II,2016
3136,F,67206,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Public Safety Telephone Reporting Aide I,1999
3137,M,54675.7,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,1999
3138,M,16049,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,2016
3139,M,89620,Department of Police,PSB 5th District Special Assignment Team,Fulltime-Regular,Police Officer III,1999
3140,M,42053.42,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2014
3141,M,62517.38,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,2008
3142,F,112899,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Senior Management and Budget Specialist,2005
3143,F,55956.05,Board of Elections,Absentee Voting,Fulltime-Regular,Office Services Coordinator,2000
3144,F,56588.09,Board of Elections,Absentee Voting,Fulltime-Regular,Office Services Coordinator,1999
3145,F,73176.1,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2016
3146,F,175110.54,Community Use of Public Facilities,Director,Fulltime-Regular,Manager I,1998
3147,M,48260.15,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2007
3148,M,105743.92,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Engineer III,1996
3149,M,27799.2,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,2016
3150,F,41781.91,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant,2013
3151,M,175127,Department of Liquor Control,Director\'s Office,Fulltime-Regular,Manager I,1979
3152,M,42053.33,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2008
3153,M,45048.5,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2012
3154,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
3155,M,39257.31,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016
3156,F,59676.38,Correction and Rehabilitation,PTS Assessment,Fulltime-Regular,Correctional Specialist II,2012
3157,M,92756.7,Department of Police,FSB Media Services Division,Fulltime-Regular,Police Officer III,1994
3158,M,86911,Fire and Rescue Services,Field Operations Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2007
3159,M,60501,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Police Officer III,2012
3160,M,42053.83,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014
3161,M,112266,Fire and Rescue Services,Station 31,Fulltime-Regular,Fire/Rescue Captain,1997
3162,M,92756.7,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Police Officer III,1994
3163,F,61325.8,Department of General Services,Building Design and Construction,Fulltime-Regular,Office Services Coordinator,2000
3164,M,100849.36,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Therapist II,1988
3165,F,77328,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2001
3166,M,42053.42,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
3167,F,112337,Department of Police,MSB Training and Education Division,Fulltime-Regular,Administrative Specialist II,2001
3168,M,112899,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Senior Engineer,2003
3169,M,100849.36,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1988
3170,M,77343,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic II,2000
3171,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016
3172,M,109394.17,Department of Police,FSB Security Services Division,Fulltime-Regular,Manager III,2006
3173,F,78588.77,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Social Worker III,2005
3174,M,168936.48,Office of Human Resources,Labor and Employee Relations Division,Fulltime-Regular,Manager I,2015
3175,M,68015,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,2006
3176,M,92756.7,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1988
3177,M,92756.7,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1988
3178,M,149015.58,Offices of the County Executive,CountyStat,Fulltime-Regular,Manager II,2012
3179,F,97912,Department of Permitting Services,Zoning,Fulltime-Regular,Senior Permitting Services Specialist,2003
3180,M,83611.44,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,1995
3181,M,100849.36,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,1988
3182,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
3183,F,72360,Department of Permitting Services,Zoning,Fulltime-Regular,Senior Permitting Services Specialist,2016
3184,F,80381.48,Department of Public Libraries,Twinbrook Library,Fulltime-Regular,Librarian I,1999
3185,M,68543,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Firefighter/Rescuer III,2008
3186,M,33395,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2016
3187,M,65010.94,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,2015
3188,M,50910,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,2014
3189,M,42053.42,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014
3190,F,102049.83,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker IV,2001
3191,M,79471,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,2005
3192,M,107657,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,2007
3193,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
3194,M,70422,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Coordinator,1999
3195,F,37838.46,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2010
3196,F,46985.75,Department of Liquor Control,Cloverly,Fulltime-Regular,Liquor Store Clerk II,2007
3197,F,73801,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,2001
3198,F,79663.29,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician III,1994
3199,F,26208.35,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,1992
3200,M,64854,Sheriff\'s Office,Warrant Section,Fulltime-Regular,Deputy Sheriff III,2005
3201,M,63345,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,2012
3202,F,56688.39,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003
3203,M,68015,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,2006
3204,M,70052,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,2006
3205,M,83611.44,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,1995
3206,M,106448.44,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff Lieutenant,1989
3207,M,75277.02,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Work Force Leader II,1990
3208,F,67977.18,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2004
3209,F,57186,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2007
3210,M,74815,Fire and Rescue Services,Station 7,Fulltime-Regular,Master Firefighter/Rescuer,2006
3211,M,71593.57,Department of Transportation,Transit COS Taxicab Regulation,Fulltime-Regular,Code Enforcement Inspector III,2005
3212,M,57378.12,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2000
3213,M,68054,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Police Officer III,2008
3214,M,68054,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2012
3215,F,64141,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1999
3216,F,35552.39,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015
3217,M,92756.7,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,1992
3218,F,70662.8,Department of Liquor Control,Purchasing,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,1997
3219,M,48260.15,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2006
3220,M,29779.07,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,2006
3221,M,57265,Fire and Rescue Services,Station 22,Fulltime-Regular,Firefighter/Rescuer III,2012
3222,M,52693,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2013
3223,F,77328,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2000
3224,M,131654.51,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Manager III,2012
3225,F,66518.09,Department of Health and Human Services,Clinical Assessment and Triage Services,Fulltime-Regular,Therapist II,2013
3226,F,33548.42,Department of Public Libraries,Damascus Library,Parttime-Regular,Library Associate II,2002
3227,F,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
3228,M,29224,Department of Public Libraries,Silver Spring Library,Parttime-Regular,Library Assistant I,2000
3229,M,45049.12,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013
3230,F,29779.06,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,2013
3231,M,89122.19,Department of Health and Human Services,Contract Team,Fulltime-Regular,Program Manager I,2015
3232,M,39257.31,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2016
3233,M,100006,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Sergeant,2001
3234,M,87967.15,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,1993
3235,M,77753.08,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Supervisor,2015
3236,F,102664,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,2005
3237,F,87523.22,Department of Public Libraries,Poolesville Library,Fulltime-Regular,Librarian I,1996
3238,M,119211.02,Fire and Rescue Services,Station 29,Fulltime-Regular,Fire/Rescue Captain,1989
3239,M,118930,Fire and Rescue Services,Station 40,Fulltime-Regular,Fire/Rescue Captain,2001
